p_a,h,i,assortativity
0.8,0.5,6,-0.002024243110014995
0.8,0.5,7,-0.007003504781635822
0.8,0.5,8,-0.000777821588813298
0.8,0.5,9,-0.0036889079359272887
0.8,0.5,10,-0.006039620953304031
0.8,0.5,11,-0.004298335041774771
0.8,0.5,12,0.006902861141611752
0.8,0.5,13,-0.002550468321033165
0.8,0.5,14,-0.007123236962286784
0.8,0.5,15,0.007245410265929693
0.8,0.5,16,0.005824465182628815
0.8,0.5,17,-0.003016856116460749
0.8,0.5,18,0.0069348757922779915
0.8,0.5,19,0.0002576032551734606
0.8,0.6,0,0.047821989609745486
0.8,0.6,1,0.05234631921485182
0.8,0.6,2,0.05374033645730673
0.8,0.6,3,0.06939512799257938
0.8,0.6,4,0.06032350353857434
0.8,0.6,5,0.04776564710554272
0.8,0.6,6,0.05532847329392578
0.8,0.6,7,0.05282322764696557
0.8,0.6,8,0.04962674205797062
0.8,0.6,9,0.06216611300471974
0.8,0.6,10,0.04872289356120501
0.8,0.6,11,0.05746161143589333
0.8,0.6,12,0.0600021242401925
0.8,0.6,13,0.061354829832488834
0.8,0.6,14,0.053542176843204455
0.8,0.6,15,0.06301192538989113
0.8,0.6,16,0.0509331401404892
0.8,0.6,17,0.04979913479386721
0.8,0.6,18,0.05411114424322105
0.8,0.6,19,0.052513831523671936
0.8,0.7,0,0.10714928950126018
0.8,0.7,1,0.10822636201395806
0.8,0.7,2,0.11171367423788463
0.8,0.7,3,0.10477523590805776
0.8,0.7,4,0.11634616225119564
0.8,0.7,5,0.10748264548184443
0.8,0.7,6,0.11891667899114808
0.8,0.7,7,0.10091553754621428
0.8,0.7,8,0.10904426047204395
0.8,0.7,9,0.11667745343828607
0.8,0.7,10,0.1111848248123434
0.8,0.7,11,0.10971484686229802
0.8,0.7,12,0.11422359040978322
0.8,0.7,13,0.10817163661455814
0.8,0.7,14,0.10956045109788244
0.8,0.7,15,0.09748724348340393
0.8,0.7,16,0.10747591871977442
0.8,0.7,17,0.11605286614651414
0.8,0.7,18,0.10869573571455156
0.8,0.7,19,0.10844186543166166
0.8,0.8,0,0.15968576901514245
0.8,0.8,1,0.16377618727197457
0.8,0.8,2,0.18339891934411612
0.8,0.8,3,0.16838366406861974
0.8,0.8,4,0.16668068778823916
0.8,0.8,5,0.17537278128882763
0.8,0.8,6,0.16383673773067586
0.8,0.8,7,0.17563866078208626
0.8,0.8,8,0.15336357921676477
0.8,0.8,9,0.16644592945165476
0.8,0.8,10,0.17401890859778796
0.8,0.8,11,0.17025866981146204
0.8,0.8,12,0.16486557070483163
0.8,0.8,13,0.1674421237145456
0.8,0.8,14,0.1739944529324575
