b_p,network,h_p,offset,run_index,active_set,majority
0.01,upsjobs,0.5,-50,0,707.0458,409.9658
0.01,upsjobs,0.5,-50,1,706.6578,409.4066
0.01,upsjobs,0.5,-50,2,706.7786,409.603
0.01,upsjobs,0.5,-50,3,706.9656,409.6432
0.01,upsjobs,0.5,-50,4,707.0315,409.9202
0.01,upsjobs,0.5,-50,5,706.4925,409.5527
0.01,upsjobs,0.5,-50,6,707.1521,410.0531
0.01,upsjobs,0.5,-50,7,706.7024,409.4623
0.01,upsjobs,0.5,-50,8,706.5521,409.5664
0.01,upsjobs,0.5,-50,9,706.6383,409.511
0.01,upsjobs,0.5,-40,0,709.7654,420.0693
0.01,upsjobs,0.5,-40,1,710.0242,420.4475
0.01,upsjobs,0.5,-40,2,709.997,419.9339
0.01,upsjobs,0.5,-40,3,710.0663,420.4821
0.01,upsjobs,0.5,-40,4,709.9348,420.1305
0.01,upsjobs,0.5,-40,5,709.6814,420.0394
0.01,upsjobs,0.5,-40,6,708.8517,419.575
0.01,upsjobs,0.5,-40,7,709.9944,420.3343
0.01,upsjobs,0.5,-40,8,709.8808,420.2678
0.01,upsjobs,0.5,-40,9,709.8884,420.1007
0.01,upsjobs,0.5,-30,0,708.4682,428.6299
0.01,upsjobs,0.5,-30,1,708.6237,428.6312
0.01,upsjobs,0.5,-30,2,708.6111,428.562
0.01,upsjobs,0.5,-30,3,708.3179,428.5264
0.01,upsjobs,0.5,-30,4,708.8631,428.7491
0.01,upsjobs,0.5,-30,5,708.6652,428.3734
0.01,upsjobs,0.5,-30,6,708.6899,428.5323
0.01,upsjobs,0.5,-30,7,708.6691,428.6215
0.01,upsjobs,0.5,-30,8,708.388,428.4781
0.01,upsjobs,0.5,-30,9,708.2034,428.169
0.01,upsjobs,0.5,-20,0,710.7348,439.0521
0.01,upsjobs,0.5,-20,1,710.574,439.2078
0.01,upsjobs,0.5,-20,2,710.514,438.9307
0.01,upsjobs,0.5,-20,3,710.8564,439.198
0.01,upsjobs,0.5,-20,4,710.9326,439.1731
0.01,upsjobs,0.5,-20,5,710.5518,439.1221
0.01,upsjobs,0.5,-20,6,710.5263,438.8874
0.01,upsjobs,0.5,-20,7,710.6279,438.9409
0.01,upsjobs,0.5,-20,8,710.2851,438.7713
0.01,upsjobs,0.5,-20,9,710.9194,439.2808
0.01,upsjobs,0.5,-10,0,710.6626,448.6528
0.01,upsjobs,0.5,-10,1,710.5898,448.6639
0.01,upsjobs,0.5,-10,2,710.4438,448.7203
0.01,upsjobs,0.5,-10,3,710.3422,448.4554
0.01,upsjobs,0.5,-10,4,710.2959,448.3811
0.01,upsjobs,0.5,-10,5,710.6315,448.339
0.01,upsjobs,0.5,-10,6,710.4459,448.6181
0.01,upsjobs,0.5,-10,7,710.5377,448.463
0.01,upsjobs,0.5,-10,8,710.9065,448.9083
0.01,upsjobs,0.5,-10,9,710.2185,448.3137
0.01,upsjobs,0.5,0,0,709.093,458.2446
0.01,upsjobs,0.5,0,1,709.404,458.2317
0.01,upsjobs,0.5,0,2,709.2137,458.2284
0.01,upsjobs,0.5,0,3,708.9563,458.1716
0.01,upsjobs,0.5,0,4,709.2077,458.1678
0.01,upsjobs,0.5,0,5,709.1411,458.2234
0.01,upsjobs,0.5,0,6,709.643,458.4588
0.01,upsjobs,0.5,0,7,709.9812,458.8256
0.01,upsjobs,0.5,0,8,709.3935,458.477
0.01,upsjobs,0.5,0,9,709.3134,458.3822
0.01,upsjobs,0.5,10,0,704.9169,465.3187
0.01,upsjobs,0.5,10,1,705.195,465.589
0.01,upsjobs,0.5,10,2,704.8785,465.551
0.01,upsjobs,0.5,10,3,705.0276,465.6466
0.01,upsjobs,0.5,10,4,705.0457,465.6168
0.01,upsjobs,0.5,10,5,704.7471,465.6485
0.01,upsjobs,0.5,10,6,704.7573,465.3367
0.01,upsjobs,0.5,10,7,704.3654,465.0156
0.01,upsjobs,0.5,10,8,705.0214,465.3429
0.01,upsjobs,0.5,10,9,704.0679,464.7845
0.01,upsjobs,0.5,20,0,702.5437,475.0331
0.01,upsjobs,0.5,20,1,702.7112,475.0589
0.01,upsjobs,0.5,20,2,702.3414,474.8025
0.01,upsjobs,0.5,20,3,702.5799,475.0603
0.01,upsjobs,0.5,20,4,702.6511,474.855
0.01,upsjobs,0.5,20,5,702.5887,475.1161
0.01,upsjobs,0.5,20,6,702.6226,475.0975
0.01,upsjobs,0.5,20,7,702.8346,475.2894
0.01,upsjobs,0.5,20,8,702.7577,475.1986
0.01,upsjobs,0.5,20,9,702.0589,474.7904
0.01,upsjobs,0.5,30,0,697.6551,484.1792
0.01,upsjobs,0.5,30,1,697.8434,484.0767
0.01,upsjobs,0.5,30,2,698.0438,484.3543
0.01,upsjobs,0.5,30,3,697.8563,484.114
0.01,upsjobs,0.5,30,4,698.2763,484.5152
0.01,upsjobs,0.5,30,5,698.1507,484.231
0.01,upsjobs,0.5,30,6,697.5818,483.8695
0.01,upsjobs,0.5,30,7,697.7247,484.2016
0.01,upsjobs,0.5,30,8,697.9723,484.2757
0.01,upsjobs,0.5,30,9,698.1289,484.4372
0.01,upsjobs,0.5,40,0,688.9259,490.292
0.01,upsjobs,0.5,40,1,688.3562,489.9864
0.01,upsjobs,0.5,40,2,688.6292,489.9524
0.01,upsjobs,0.5,40,3,688.5558,490.0779
0.01,upsjobs,0.5,40,4,688.4295,489.7753
0.01,upsjobs,0.5,40,5,688.3028,489.9276
0.01,upsjobs,0.5,40,6,688.8215,490.0942
0.01,upsjobs,0.5,40,7,688.6731,490.0295
0.01,upsjobs,0.5,40,8,688.6605,490.3838
0.01,upsjobs,0.5,40,9,688.6443,490.139
0.01,upsjobs,0.5,50,0,678.9165,497.2758
0.01,upsjobs,0.5,50,1,678.3311,496.9322
0.01,upsjobs,0.5,50,2,678.3443,496.9339
0.01,upsjobs,0.5,50,3,678.699,497.0598
0.01,upsjobs,0.5,50,4,678.6651,496.9719
0.01,upsjobs,0.5,50,5,677.7316,496.5513
0.01,upsjobs,0.5,50,6,678.7999,497.131
0.01,upsjobs,0.5,50,7,678.6402,496.9681
0.01,upsjobs,0.5,50,8,678.3274,496.7538
0.01,upsjobs,0.5,50,9,678.1958,496.8528
0.01,upsjobs,0.5,60,0,648.4877,494.374
0.01,upsjobs,0.5,60,1,648.399,494.6004
0.01,upsjobs,0.5,60,2,648.2579,494.4352
0.01,upsjobs,0.5,60,3,648.3818,494.451
0.01,upsjobs,0.5,60,4,648.5729,494.6262
0.01,upsjobs,0.5,60,5,648.5359,494.454
0.01,upsjobs,0.5,60,6,648.8317,494.8144
0.01,upsjobs,0.5,60,7,648.8443,494.8147
0.01,upsjobs,0.5,60,8,648.7564,494.6425
