b_p,n,p_M,h,run_index,active_set,majority
0.01,20000,0.8,0.5,0,233.2243,175.7295
0.01,20000,0.8,0.5,1,233.2359,183.8804
0.01,20000,0.8,0.5,2,233.3433,180.2184
0.01,20000,0.8,0.5,3,233.8619,178.0533
0.01,20000,0.8,0.5,4,234.0652,178.6008
0.01,20000,0.8,0.5,5,235.2196,183.6692
0.01,20000,0.8,0.5,6,233.9845,190.136
0.01,20000,0.8,0.5,7,234.0696,186.931
0.01,20000,0.8,0.5,8,233.0002,181.5425
0.01,20000,0.8,0.5,9,234.4094,188.0239
0.01,20000,0.8,0.5,10,233.7665,185.0635
0.01,20000,0.8,0.5,11,233.8158,179.4377
0.01,20000,0.8,0.5,12,233.3517,176.7027
0.01,20000,0.8,0.5,13,233.9233,186.8829
0.01,20000,0.8,0.5,14,233.6667,180.1562
0.01,20000,0.8,0.5,15,235.1008,186.7675
0.01,20000,0.8,0.5,16,234.1724,187.0342
0.01,20000,0.8,0.5,17,235.5357,196.1281
0.01,20000,0.8,0.5,18,234.5652,187.7595
0.01,20000,0.8,0.5,19,233.8691,185.0461
0.01,20000,0.8,0.6,0,235.7079,192.7329
0.01,20000,0.8,0.6,1,235.0242,188.8601
0.01,20000,0.8,0.6,2,236.284,196.6621
0.01,20000,0.8,0.6,3,234.1285,187.3725
0.01,20000,0.8,0.6,4,233.5993,192.3022
0.01,20000,0.8,0.6,5,235.103,203.8158
0.01,20000,0.8,0.6,6,234.2511,189.6471
0.01,20000,0.8,0.6,7,234.24,196.8699
0.01,20000,0.8,0.6,8,235.506,191.9166
0.01,20000,0.8,0.6,9,234.5294,196.2041
0.01,20000,0.8,0.6,10,234.6613,192.5799
0.01,20000,0.8,0.6,11,233.1128,195.2649
0.01,20000,0.8,0.6,12,235.3247,188.7781
0.01,20000,0.8,0.6,13,235.4285,194.9105
0.01,20000,0.8,0.6,14,234.4935,192.2117
0.01,20000,0.8,0.6,15,236.0236,196.5733
0.01,20000,0.8,0.6,16,232.4446,198.1589
0.01,20000,0.8,0.6,17,235.3176,193.6004
0.01,20000,0.8,0.6,18,236.8899,205.6401
0.01,20000,0.8,0.6,19,235.5347,196.2036
0.01,20000,0.8,0.7,0,234.0541,199.2881
0.01,20000,0.8,0.7,1,233.7517,203.4789
0.01,20000,0.8,0.7,2,235.6243,203.5285
0.01,20000,0.8,0.7,3,236.1624,206.2966
0.01,20000,0.8,0.7,4,234.0465,204.5601
0.01,20000,0.8,0.7,5,234.542,199.7841
0.01,20000,0.8,0.7,6,236.2553,191.3097
0.01,20000,0.8,0.7,7,236.1046,210.0316
0.01,20000,0.8,0.7,8,234.3864,201.4935
0.01,20000,0.8,0.7,9,236.5047,202.8584
0.01,20000,0.8,0.7,10,234.7489,198.0522
0.01,20000,0.8,0.7,11,234.5277,202.6338
0.01,20000,0.8,0.7,12,234.7268,204.128
0.01,20000,0.8,0.7,13,234.5617,192.5178
0.01,20000,0.8,0.7,14,235.6757,209.0033
0.01,20000,0.8,0.7,15,232.8928,201.1308
0.01,20000,0.8,0.7,16,235.7128,202.7753
0.01,20000,0.8,0.7,17,234.3425,198.1374
0.01,20000,0.8,0.7,18,235.9631,203.3185
0.01,20000,0.8,0.7,19,237.0343,210.0273
0.01,20000,0.8,0.8,0,235.8679,210.77
0.01,20000,0.8,0.8,1,235.5376,204.6879
0.01,20000,0.8,0.8,2,234.4997,195.7749
0.01,20000,0.8,0.8,3,234.5411,198.0381
0.01,20000,0.8,0.8,4,235.8698,209.7385
0.01,20000,0.8,0.8,5,234.8927,201.8454
0.01,20000,0.8,0.8,6,236.2874,206.0388
0.01,20000,0.8,0.8,7,236.2421,200.2083
0.01,20000,0.8,0.8,8,236.3427,212.257
0.01,20000,0.8,0.8,9,235.7771,205.1927
0.01,20000,0.8,0.8,10,235.6919,207.0433
0.01,20000,0.8,0.8,11,235.9333,207.288
0.01,20000,0.8,0.8,12,236.5438,207.0764
0.01,20000,0.8,0.8,13,235.3851,193.7629
0.01,20000,0.8,0.8,14,235.232,203.2272
0.01,20000,0.8,0.8,15,235.4565,207.3171
0.01,20000,0.8,0.8,16,234.5401,198.0204
0.01,20000,0.8,0.8,17,235.6951,212.324
0.01,20000,0.8,0.8,18,236.0696,203.7529
0.01,20000,0.8,0.8,19,236.8482,206.4846
0.01,20000,0.8,0.9,0,236.1695,198.9017
0.01,20000,0.8,0.9,1,235.401,197.3297
0.01,20000,0.8,0.9,2,235.2039,209.3208
0.01,20000,0.8,0.9,3,236.0447,209.6841
0.01,20000,0.8,0.9,4,236.3616,211.2852
0.01,20000,0.8,0.9,5,235.4278,214.7617
0.01,20000,0.8,0.9,6,236.8403,214.1648
0.01,20000,0.8,0.9,7,237.3236,203.1459
0.01,20000,0.8,0.9,8,235.1282,202.2394
0.01,20000,0.8,0.9,9,234.6675,211.5395
0.01,20000,0.8,0.9,10,235.5353,204.3244
0.01,20000,0.8,0.9,11,236.6073,204.7512
0.01,20000,0.8,0.9,12,236.2654,211.3585
0.01,20000,0.8,0.9,13,237.4581,204.3733
0.01,20000,0.8,0.9,14,236.2193,210.8906
0.01,20000,0.8,0.9,15,235.9544,209.4055
0.01,20000,0.8,0.9,16,236.4939,211.6258
0.01,20000,0.8,0.9,17,236.3279,205.0471
0.01,20000,0.8,0.9,18,236.7259,206.0534
0.01,20000,0.8,0.9,19,236.0773,203.8998
0.01,20000,0.8,1.0,0,236.3037,212.1064
0.01,20000,0.8,1.0,1,235.3661,202.8156
0.01,20000,0.8,1.0,2,236.9362,210.389
0.01,20000,0.8,1.0,3,237.2696,206.7931
0.01,20000,0.8,1.0,4,235.99,213.5297
0.01,20000,0.8,1.0,5,235.618,205.6084
0.01,20000,0.8,1.0,6,236.2222,210.9466
0.01,20000,0.8,1.0,7,235.4772,211.7234
0.01,20000,0.8,1.0,8,237.1178,212.8035
0.01,20000,0.8,1.0,9,236.7944,211.7708
0.01,20000,0.8,1.0,10,235.6647,205.3119
0.01,20000,0.8,1.0,11,236.4315,208.8033
0.01,20000,0.8,1.0,12,236.6335,213.7893
0.01,20000,0.8,1.0,13,237.6496,220.8968
0.01,20000,0.8,1.0,14,236.0953,204.864
0.01,20000,0.8,1.0,15,234.5684,208.5675
0.01,20000,0.8,1.0,16,236.5036,209.4439
0.01,20000,0.8,1.0,17,235.2227,205.9284
0.01,20000,0.8,1.0,18,234.8392,212.0327
0.01,20000,0.8,1.0,19,236.8486,209.3576
0.05,20000,0.5,0.5,0,387.7613,184.8351
0.05,20000,0.5,0.5,1,379.8926,178.5854
0.05,20000,0.5,0.5,2,383.0677,191.8545
0.05,20000,0.5,0.5,3,374.8493,194.9682
0.05,20000,0.5,0.5,4,380.457,187.8493
0.05,20000,0.5,0.5,5,383.4854,192.9538
0.05,20000,0.5,0.5,6,381.0563,197.5768
0.05,20000,0.5,0.5,7,385.9301,190.8358
0.05,20000,0.5,0.5,8,384.0737,193.6631
0.05,20000,0.5,0.5,9,380.3617,206.4267
0.05,20000,0.5,0.5,10,387.8197,192.9619
0.05,20000,0.5,0.5,11,382.7515,186.4232
0.05,20000,0.5,0.5,12,382.2986,191.4289
0.05,20000,0.5,0.5,13,383.4703,187.7625
0.05,20000,0.5,0.5,14,394.4453,197.5225
0.05,20000,0.5,0.5,15,389.1334,197.3231
0.05,20000,0.5,0.5,16,380.1048,197.3625
0.05,20000,0.5,0.5,17,381.2555,193.6303
0.05,20000,0.5,0.5,18,377.0698,191.115
0.05,20000,0.5,0.5,19,382.5587,193.3685
0.05,20000,0.5,0.6,0,378.477,177.6992
0.05,20000,0.5,0.6,1,384.0517,190.6552
0.05,20000,0.5,0.6,2,380.6804,190.4813
0.05,20000,0.5,0.6,3,389.6368,200.8758
0.05,20000,0.5,0.6,4,384.7723,191.1179
0.05,20000,0.5,0.6,5,386.7128,194.1317
0.05,20000,0.5,0.6,6,383.8558,194.5313
0.05,20000,0.5,0.6,7,376.17,177.1155
0.05,20000,0.5,0.6,8,382.9539,179.3746
0.05,20000,0.5,0.6,9,385.17,190.8342
0.05,20000,0.5,0.6,10,382.408,186.4658
0.05,20000,0.5,0.6,11,386.7503,195.5279
0.05,20000,0.5,0.6,12,384.3224,194.2458
0.05,20000,0.5,0.6,13,384.1252,196.8957
0.05,20000,0.5,0.6,14,385.794,200.156
0.05,20000,0.5,0.6,15,390.81,199.2112
0.05,20000,0.5,0.6,16,382.5236,190.3364
0.05,20000,0.5,0.6,17,379.4843,193.1839
